Parameter,Most-likely Model,16th,50th,84th
a_cz,-1659136.6973124235,-1206433.4822432655,2187435.4247735497,537369.7513394728
tau_cz,-0.0018536921764323074,0.0017184741907983814,0.00751548940887278,0.0035709122736608543
psi_cz,0.9999110951364449,1.000071651218053,0.0001331046340948827,0.00013456446628801189
a_he,0.0006983729339070868,0.0004661122317583328,0.00016296236635322776,0.0001545185290646245
c_he,9.416452231383863e-08,2.0062079623892182e-08,6.131216104938791e-08,8.800036193508925e-08
tau_he,0.0008176312043727333,0.0008187916154528618,4.998652124961825e-05,4.9173960549150214e-05
psi_he,2.965088915313074,2.963945079778123,1.1583696405957196,1.2006226668079174
