Parameter,Most-likely Model,16th,50th,84th
a_cz,2164422.3326796144,515595.7365892769,1218365.3140577574,1142086.5468072356
tau_cz,-0.0009118630085285821,0.002976022630558026,0.00669941116897819,0.005176399646556312
psi_cz,1.0000039983362459,1.0000210496597446,4.449889933266782e-05,4.3936617342033024e-05
a_he,0.00016772898974463818,0.0005006167627785613,0.0011167884374157586,0.0009115614759979007
c_he,1.261343675746055e-07,3.649910157180937e-07,2.614082869630299e-07,2.0106053340204946e-07
tau_he,0.0017904048481224531,0.0009463915584270767,0.0005493467449320466,0.0015275904677558177
psi_he,0.5609901803014417,2.7242137315513046,5.207919938020903,5.390028277975462
