Parameter,Most-likely Model,16th,50th,84th
a_cz,390747.39698087645,90761.54302354698,371984.44143499254,101203.6576483312
tau_cz,0.001694938107829432,0.00015010494549353923,0.0016820656102535685,0.00013373289733732913
psi_cz,486979.301738293,471139.9003723636,471286.70681999414,187755346.34954187
a_he,0.001922727237862634,0.0010191979522026218,0.0027680830685459495,0.0016096483241790707
c_he,8.107384562893173e-07,4.482165194010573e-07,1.1907336136603324e-06,5.611631487981193e-07
tau_he,0.0011192274506437252,1.5423490692431435e-05,0.001132170334834389,1.7370611715826923e-05
psi_he,0.13390557562338046,0.12492511472427772,0.056663058748783274,0.13167575567207077
