Parameter,Most-likely Model,16th,50th,84th
a_cz,-160257.71372191358,50771.46374989464,-140814.83826426286,53321.41806584394
tau_cz,0.0034807333377526554,0.00015800782519430562,0.003478588742537722,0.0001897856506230572
psi_cz,3.8164152484792733,3.0622534911826667,3.6463093735393515,14.645993224233893
a_he,0.0026205755555862506,0.0004976780950637725,0.002766925689992801,0.00047207084996018405
c_he,1.0757228259636228e-06,2.277759586550631e-07,1.144874495389855e-06,1.9276327521525453e-07
tau_he,0.0015247061676541363,8.297283585426401e-06,0.0015191351455166105,5.9876330857913055e-06
psi_he,-2.8370499611247215,0.0367776034320495,-2.7896495092672815,0.07795657676255585
