Parameter,Most-likely Model,16th,50th,84th
a_cz,-1125487.769260497,120840.31045787223,-1128786.3381719687,120153.0004245654
tau_cz,0.0038788446725506087,4.5281112518440626e-05,0.003879426058149051,4.861595424848894e-05
psi_cz,0.04917082634088077,25.16750894967841,25.342147037989644,3822.188257886347
a_he,-0.017077155620732573,0.007438670995597571,-0.01636719399785829,0.0054222075111563465
c_he,1.023671622880488e-06,9.126725516926026e-08,1.020510890654186e-06,9.02549842342463e-08
tau_he,0.00083698043014467,3.769508908894241e-05,0.0008399798255819493,3.193876669339011e-05
psi_he,5.03172507131153,0.7624148301097886,4.956377734852073,0.92905155589286
