Parameter,Most-likely Model,16th,50th,84th
a_cz,377120.1415515741,68308.24980717478,357358.26052152447,67610.25388514344
tau_cz,0.002493147565450857,6.735786171393164e-05,0.0024792407531905826,6.0388716046968875e-05
psi_cz,3.4776209210647595,1.9850032986613275,4.060285855134343,4.279366428763537
a_he,-0.0036713007378837204,0.00048424265060544513,-0.003764855686951281,0.0004275370842109663
c_he,8.097491730737246e-07,9.82611096769872e-08,8.313449887436438e-07,1.0312486596769089e-07
tau_he,0.0011231265199157401,2.137354777586838e-05,0.0011298213163454568,2.043138513380051e-05
psi_he,-0.10797964694568263,0.27305217336278953,-0.18910681821169592,0.2896645267549577
