Parameter,Most-likely Model,16th,50th,84th
a_cz,1093657.4294299965,917923.7231017622,-239798.6476946565,1071132.5393643293
tau_cz,0.0029591959061606994,0.00026054927999914117,0.003090602497395694,0.0003576311384762003
psi_cz,5260.756678187586,18.559979772985482,18.560098104962982,2459894.177982376
a_he,-0.009766468395964538,0.0042398905375855885,-0.009338219263479195,0.0034624395326012932
c_he,5.222018944586099e-07,6.984203384915049e-08,5.249662626263401e-07,5.972324355502741e-08
tau_he,0.0006665522073205297,2.850761013641946e-05,0.0006817177640177667,3.3283023717725103e-05
psi_he,11.709469169823233,1.2755022634974118,11.161000673505875,0.9061050667450541
