Parameter,Most-likely Model,16th,50th,84th
a_cz,352375.30287896877,85567.71271777363,312999.7811667483,85602.87448261335
tau_cz,0.002930145551689186,0.00020523248014261194,0.0031578769721897076,0.0002583701833326398
psi_cz,89.64384460575619,5.903360926258411,6.209424456093612,61.35494616212577
a_he,0.0029412704911936224,0.0007536464770442593,0.003244667110490985,0.0009464110383253328
c_he,1.0271069916341646e-06,2.3171185405884238e-07,1.1238792547840023e-06,2.405045551169513e-07
tau_he,0.0012194292267751676,4.2784478678413234e-05,0.001190765386970276,2.1987233727785178e-05
psi_he,-2.0203538809076234,0.29506814977092044,-1.6397377529208563,0.5769865963590288
