Parameter,Most-likely Model,16th,50th,84th
a_cz,-896751.741688191,663267.9652423667,-160155.78775631904,577203.5848038135
tau_cz,0.00743997164671813,0.004567577461717552,0.0027567098472984696,0.006041601070628518
psi_cz,167224.42809844934,263.34608726145785,263.3472713508239,153127501.74693543
a_he,-0.001620452934243562,0.004234324463420283,-0.004413057676419532,0.0026878838791371267
c_he,4.4419574732644814e-07,2.0652109144750965e-07,7.113280411337563e-07,1.8910732908739636e-07
tau_he,0.0010787052684276077,7.515641702537674e-05,0.0010672150508120443,7.627028120005307e-05
psi_he,-0.17056715106321152,3.893796610143894,0.23054145442736873,4.869922457799728
