Parameter,Most-likely Model,16th,50th,84th
a_cz,501190.01121547975,392304.25615280605,62728.12872795235,409392.5826857615
tau_cz,0.003765900719086577,0.000714985781725143,0.0036174490214482095,0.0002947929849011939
psi_cz,1.0076299735561713,0.9907573123132559,1.000007405427755,115.33108619661571
a_he,0.0038341392316537603,0.0007261919294854276,0.0040594665890636315,0.0009009349508131998
c_he,4.888323383724822e-07,8.750721397470662e-08,5.156876747026213e-07,9.36465288782143e-08
tau_he,0.0008351538794756263,2.4967479165787974e-05,0.0008410492620899889,2.4240760543850905e-05
psi_he,3.677351650258795,0.43036682600811904,3.5762580857072965,0.4474287421977543
