Parameter,Most-likely Model,16th,50th,84th
a_cz,-1508925.5119402746,77115.36630079849,-1413745.63900291,152678.14745532256
tau_cz,0.004376662970308314,4.0074945147656506e-05,0.004381232696086196,4.088251628546046e-05
psi_cz,3248.422577942541,11.534040967166332,14.979184604647276,2859.799562702828
a_he,-0.0020609953783399587,0.00026191107206141985,-0.0020592463132092353,0.00024263031986319645
c_he,3.1294952878465637e-07,2.696000122946824e-08,3.1345049343704664e-07,2.6596005017490595e-08
tau_he,0.0007144751246179741,1.0477581997304138e-05,0.0007186006994737566,1.1849325646598094e-05
psi_he,7.568113135568431,0.31566592800141446,7.4675090606766865,0.28073185010106805
