Parameter,Most-likely Model,16th,50th,84th
a_cz,538055.4231056762,72501.30620713433,528137.5374337501,71435.55037461978
tau_cz,0.0037997267699636504,5.272124640207619e-06,0.0038012058295313752,8.680933396582307e-06
psi_cz,1.0001419340969977,0.00017603626034956577,1.0000916631501313,0.0001774791273390086
a_he,-0.002313942013541157,0.00044985478362182885,-0.0022755653855762417,0.00039586215505629276
c_he,5.442568264385106e-07,3.8701266110275096e-08,5.426844277645771e-07,3.9225301986204235e-08
tau_he,0.0009103891264388466,1.4172938857974667e-05,0.000910927868762451,1.4203561826728111e-05
psi_he,2.7549812204899564,0.3628251727557785,2.753338148273742,0.37745444873654277
