Parameter,Most-likely Model,16th,50th,84th
a_cz,-341382.70503418904,53603.89420416986,-311532.6989701072,68618.6650495939
tau_cz,0.007848457771119567,1.4376668798127094e-05,0.00403957279327586,1.0321170515126092e-05
psi_cz,1.000022612036066,9.827240703796924e-05,1.000053058168489,9.548385514479563e-05
a_he,-0.0038668916183368933,0.001151996221508995,-0.004798284443454758,0.000990096506263105
c_he,1.1216201826655133e-06,1.0328524572543573e-07,1.229830722561525e-06,1.0174953295249587e-07
tau_he,0.0011185363074352945,1.737500373726942e-05,0.001120527415776221,1.2232432154946201e-05
psi_he,-0.02242437636527511,0.22494110354014674,-0.03747314451608413,0.30922115312311965
