Parameter,Most-likely Model,16th,50th,84th
a_cz,-739066.6693407535,250646.9891616936,-595273.9956163134,313209.1362729726
tau_cz,0.0032101389904265944,0.00018688720793138408,0.0031394632597091287,0.0001300177416020576
psi_cz,1.4185262329076518,2.6149222988748515,2.6260669773995424,408.5447678767089
a_he,0.008469917496264225,0.002738567305592167,0.009713130237154732,0.0035498821370681943
c_he,1.0536876058255492e-06,1.5801655733618593e-07,1.1292065313773926e-06,1.6097279404363407e-07
tau_he,0.0011159153739514118,2.5086452881938667e-05,0.001127790039437936,2.6295552908850396e-05
psi_he,0.5862285996918541,0.4308031937028083,0.3832468555210675,0.41568746325645023
