Parameter,Most-likely Model,16th,50th,84th
a_cz,384675.68760031613,166745.30638736763,341566.7945240309,33736.20299941738
tau_cz,0.0014978006682375285,0.0032022797907600817,0.001481537324626101,4.496662514872642e-05
psi_cz,0.9999897152104497,1.4786486153495204e-05,1.0000072271793228,1.5324159130081227e-05
a_he,0.004637480567886038,0.0016529560240861794,0.005436613016128034,0.0022092836246431725
c_he,1.3580263000413126e-06,2.730920072689413e-07,1.446151348818496e-06,2.867905151152676e-07
tau_he,0.0010378955288884112,8.40936601061268e-06,0.0010388824825600894,8.177522651711894e-06
psi_he,-0.00045544675458786667,0.0005376240391999816,0.00027891402544820675,0.0005400119398416394
