Parameter,Most-likely Model,16th,50th,84th
a_cz,322110.4793682061,97830.82426818763,279322.35849163495,93028.63649358379
tau_cz,0.002734539437266003,0.00012308967826620606,0.002744965379802178,0.00012920163241791427
psi_cz,12776.709258505449,26.407980513675835,26.43060309921669,28377.443419132374
a_he,0.007661694187363477,0.0013665319372728156,0.007615212064294502,0.0016021286473952966
c_he,8.834592224472805e-07,5.872528444140209e-08,8.828216901977498e-07,5.8983413286575766e-08
tau_he,0.0009426007371024216,1.5588127647630503e-05,0.0009398909186062876,1.554926832099499e-05
psi_he,1.3790593992254232,0.34328492548267375,1.4389393863235196,0.3469030547471199
