Parameter,Most-likely Model,16th,50th,84th
a_cz,-327491.65235877194,67351.99148707715,-305941.5184447919,67491.02063756876
tau_cz,0.0034413639459562454,6.976687267822804e-05,0.003422355003750668,7.854956859607931e-05
psi_cz,0.15800155031582444,0.24476281707076125,0.29257812296001484,1.154299601280215
a_he,0.002890852420445277,0.0003828204232945013,0.002892303097040876,0.00043654519828948465
c_he,6.237466765536679e-07,3.788236664534453e-08,6.237833811857671e-07,3.899947201600094e-08
tau_he,0.0009367855777877241,1.0759079875868015e-05,0.0009379957256030486,1.0851199959168887e-05
psi_he,0.880721370483164,0.24429030613963443,0.8534184080682861,0.2420952111579162
