Parameter,Most-likely Model,16th,50th,84th
a_cz,471762.2594289821,62961.96303122188,463769.3981060996,62217.86318872706
tau_cz,0.0017968437364041029,8.162165951605682e-05,0.0017901302142723755,8.295029766858253e-05
psi_cz,209.3693634097933,139.18618932517404,209.58923921556053,355.3429310353001
a_he,0.0007284222209133164,0.00031832630376422814,0.0009272970993145526,0.00047176374373188493
c_he,5.928954120080679e-07,3.0859097755183803e-07,8.029219970286234e-07,3.40215376882951e-07
tau_he,0.001035690343851036,0.00010496282686528989,0.0010477094532863685,8.778925133199754e-05
psi_he,2.6984685438320875,1.1462083929635771,2.5535986636268926,1.4583807542329068
