Parameter,Most-likely Model,16th,50th,84th
a_cz,370498.0498759507,253091.3048059852,27318.665948244015,251939.14429369362
tau_cz,0.004109447793650573,9.064683959741134e-05,0.004024060829935772,6.657928972238561e-05
psi_cz,2.4496968499773852e-05,138.19159989444142,138.1916001621382,59785380254.04576
a_he,0.001002499440887426,0.0005024699948984753,0.0011560339836121035,0.0008166544960339825
c_he,3.9518259306732504e-07,1.3914766233408553e-07,4.3964760303380846e-07,1.3826113436266336e-07
tau_he,0.0008757522920333935,4.762092323330107e-05,0.0008713948513172809,4.635364250039713e-05
psi_he,3.026485082810476,1.154356653669708,3.157165308140076,1.1647759930431638
