Parameter,Most-likely Model,16th,50th,84th
a_cz,975369.6979348221,647430.3373069755,717951.0817408598,408616.2654221902
tau_cz,0.003100289285447405,0.0001510434635312685,0.0030779756193798605,0.00016119060036281704
psi_cz,10477.457033491422,34.2256829870825,34.22578784181014,12903073.424937556
a_he,-0.0009502041251774824,0.0007279472655685548,-0.001007216427507276,0.0005118092373048894
c_he,2.538452717427329e-07,8.623655409969303e-08,2.674280484731205e-07,6.851115074374994e-08
tau_he,0.0006914218195674173,4.054960548242003e-05,0.000703410232708061,4.465130048050066e-05
psi_he,10.367440221027202,2.298309103069009,9.628196211673167,1.518582403423844
