Parameter,Most-likely Model,16th,50th,84th
a_cz,245977.37288725894,272034.2070680028,160764.1834443244,105080.32938682046
tau_cz,0.0033666304443378033,0.0002158973777051888,0.003481808441824806,0.0003815732977126233
psi_cz,4563.452171634006,536.0696106263874,536.0964929823131,8692969.146696769
a_he,-0.005901972801410343,0.0012651777635097504,-0.006266035294372074,0.0010853346905103705
c_he,1.063945736852685e-06,7.510582406608115e-08,1.0917273533739999e-06,7.54334600589863e-08
tau_he,0.000954326717614838,2.6017383558221566e-05,0.0009563014929694981,2.6577174888348554e-05
psi_he,0.985230340464316,0.5243172874097906,0.9448962260143934,0.5103612032189733
