718,6603624,13,1,1649.82838,0.0932
719,6603624,13,2,1702.9645,0.31702
720,6603624,14,0,1710.04159,0.1452
721,6603624,14,1,1760.60295,0.09273
722,6603624,14,2,1812.00483,0.19298
723,6603624,15,0,1819.68947,0.08036
724,6603624,15,1,1869.80577,0.08736
725,6603624,15,2,1921.92887,0.16126
726,6603624,16,0,1928.37796,0.08684
727,6603624,16,1,1978.79422,0.05698
728,6603624,16,2,2030.97151,0.09703
729,6603624,17,0,2036.98083,0.06446
730,6603624,17,1,2088.31879,0.04656
731,6603624,17,2,2141.09112,0.04297
732,6603624,18,0,2146.75613,0.03749
733,6603624,18,1,2198.46973,0.03953
734,6603624,18,2,2251.59734,0.04388
735,6603624,19,0,2257.00686,0.04131
736,6603624,18,3,2305.47141,0.13163
737,6603624,19,1,2308.99822,0.03008
738,6603624,19,2,2362.03471,0.03745
739,6603624,20,0,2367.08165,0.03441
740,6603624,19,3,2410.08285,0.14576
741,6603624,20,1,2419.44267,0.03149
742,6603624,20,2,2472.38311,0.04855
743,6603624,21,0,2477.04256,0.04372
744,6603624,20,3,2520.43643,0.19791
745,6603624,21,1,2529.65632,0.04406
746,6603624,21,2,2583.03233,0.0724
747,6603624,22,0,2587.51447,0.07094
748,6603624,21,3,2631.47557,0.35301
749,6603624,22,1,2640.35678,0.06638
750,6603624,22,2,2693.88601,0.12045
751,6603624,23,0,2698.22995,0.13349
752,6603624,22,3,2743.54712,1.42614
753,6603624,23,1,2751.33717,0.1752
754,6603624,23,2,2806.19974,0.72868
755,6603624,24,0,2808.72496,0.43661
756,6603624,24,1,2862.73951,0.46718
757,6603624,24,2,2916.97311,1.97839
758,6603624,25,0,2920.03234,0.87657
759,6603624,25,1,2974.73048,0.78881
760,6603624,25,2,3026.88002,3.77054
761,6603624,26,0,3032.28459,2.12925
