None,Zebedee,17,1,2720.07,0.34
None,Zebedee,18,0,2794.98,0.29
None,Zebedee,18,2,2924.71,0.31
None,Zebedee,18,1,2861.36,0.20
None,Zebedee,19,0,2936.89,0.19
None,Zebedee,19,2,3067.29,0.26
None,Zebedee,19,1,3004.19,0.14
None,Zebedee,20,2,3210.91,0.26
None,Zebedee,20,1,3146.30,0.13
None,Zebedee,20,0,3078.92,0.16
None,Zebedee,21,1,3289.14,0.15
None,Zebedee,21,0,3221.60,0.16
None,Zebedee,21,2,3353.16,0.32
None,Zebedee,22,2,3496.49,0.47
None,Zebedee,22,1,3431.59,0.20
None,Zebedee,22,0,3364.43,0.20
None,Zebedee,23,0,3506.28,0.30
None,Zebedee,23,1,3574.49,0.33
None,Zebedee,23,2,3637.81,0.82
None,Zebedee,24,0,3647.87,0.54
None,Zebedee,24,1,3718.28,0.64
None,Zebedee,25,1,3857.98,1.48
None,Zebedee,25,0,3789.75,1.14
